FRAME_NO,OBSERV_ID,BIN_EN,FRAME_TYPE,FW1,FW2,TIME_ELAPSED,SIZE_ELAPSED,CYCLE_NO,SEQ_NO
1,03,0,05,0,0,0.022000000000000006,0.0,0,0
2,03,0,05,0,0,2.886061999999999,1171520.0,0,0
3,03,0,05,0,0,5.850123999999998,2343040.0,0,0
4,03,0,05,0,0,9.114186000000002,3514560.0,0,0
5,03,0,05,0,0,12.578248000000004,4686080.0,0,0
6,03,0,05,0,0,16.342309999999998,5857600.0,0,0
7,03,0,05,0,0,19.406371999999994,7029120.0,0,0
8,03,0,05,0,0,22.570433999999988,8200640.0,0,0
9,03,0,05,0,0,27.334495999999984,9372160.0,0,0
10,03,0,05,0,0,33.098558,10543680.0,0,0
11,03,0,05,0,0,45.862620000000014,11715200.0,0,0
12,03,0,05,0,0,53.62668200000003,12886720.0,0,0
13,03,0,05,0,0,86.39074400000001,14058240.0,0,0
14,03,0,05,0,0,95.154806,15229760.0,0,0
15,03,0,05,0,0,157.91886800000003,16401280.0,0,0
16,03,0,05,0,0,280.68293000000006,17572800.0,0,0
17,03,0,05,0,0,463.4469920000001,18744320.0,0,0
18,03,0,05,0,0,706.2110539999999,19915840.0,0,0
19,03,0,05,0,0,1008.9751159999997,21087360.0,0,0
20,03,0,05,0,0,1012.3391779999996,22258880.0,0,0
21,03,0,05,0,0,1015.9032399999994,23430400.0,0,0
22,03,0,05,0,0,1019.0173019999993,24601920.0,0,0
23,03,0,05,0,0,1022.1313639999992,25773440.0,0,0
24,03,0,05,0,0,1025.245425999999,26944960.0,0,0
25,03,0,05,0,0,1028.1494879999989,28116480.0,0,0
26,03,0,05,0,0,1031.0855499999986,29288000.0,0,0
27,03,0,05,0,0,1034.1996119999983,30459520.0,0,0
28,03,0,05,0,0,1037.063673999998,31631040.0,0,0
29,03,0,05,0,0,1039.9927359999976,32802560.0,0,0
30,03,0,05,0,0,1043.1067979999973,33974080.0,0,0
31,03,0,05,0,0,1046.124859999997,35145600.0,0,0
32,03,0,05,0,0,1048.9889219999966,36317120.0,0,0
33,03,0,05,0,0,1052.4529839999964,37488640.0,0,0
34,03,0,05,0,0,1055.9170459999962,38660160.0,0,0
35,03,0,05,0,0,1059.381107999996,39831680.0,0,0
36,03,0,05,0,0,1062.4241699999957,41003200.0,0,0
37,03,0,05,0,0,1065.5312319999955,42174720.0,0,0
38,03,0,05,0,0,1068.9952939999953,43346240.0,0,0
39,03,0,05,0,0,1071.859355999995,44517760.0,0,0
40,03,0,05,0,0,1074.9534179999946,45689280.0,0,0
41,03,0,05,0,0,1078.4174799999944,46860800.0,0,0
42,03,0,05,0,0,1081.6885419999942,48032320.0,0,0
43,03,0,05,0,0,1084.5526039999938,49203840.0,0,0
44,03,0,05,0,0,1088.3666659999935,50375360.0,0,0
45,03,0,05,0,0,1092.1807279999932,51546880.0,0,0
46,03,0,05,0,0,1095.994789999993,52718400.0,0,0
47,03,0,05,0,0,1099.1768519999926,53889920.0,0,0
48,03,0,05,0,0,1102.4549139999922,55061440.0,0,0
49,03,0,05,0,0,1106.2689759999919,56232960.0,0,0
50,03,0,05,0,0,1109.1740379999917,57404480.0,0,0
51,03,0,05,0,0,1112.4330999999913,58576000.0,0,0
52,03,0,05,0,0,1116.247161999991,59747520.0,0,0
53,03,0,05,0,0,1119.7722239999907,60919040.0,0,0
54,03,0,05,0,0,1122.6632859999904,62090560.0,0,0
55,03,0,05,0,0,1127.1173479999902,63262080.0,0,0
56,03,0,05,0,0,1131.57140999999,64433600.0,0,0
57,03,0,05,0,0,1136.0254719999898,65605120.0,0,0
58,03,0,05,0,0,1139.3465339999896,66776640.0,0,0
59,03,0,05,0,0,1142.7955959999892,67948160.0,0,0
60,03,0,05,0,0,1147.249657999989,69119680.0,0,0
61,03,0,05,0,0,1150.2017199999889,70291200.0,0,0
62,03,0,05,0,0,1153.6257819999887,71462720.0,0,0
63,03,0,05,0,0,1158.0798439999885,72634240.0,0,0
64,03,0,05,0,0,1161.8579059999881,73805760.0,0,0
